experiment,shape,closed,method,parameterization,n_points,noise_sigma,trial,avg_point_to_curve,chamfer,hausdorff,smoothness,runtime_sec
noise_robustness,circle,True,bspline_ls,chord,40,0.0,0,0.021093061619660392,0.046815169528751394,0.0663681332341647,0.00015559716078617717,0.00030839999817544594
noise_robustness,circle,True,cubic_spline,chord,40,0.01,0,0.00010880031302345659,0.03187862977139952,0.057691671631401736,0.0008370784798578928,0.002575399998022476
noise_robustness,circle,True,bspline_interp,chord,40,0.01,0,0.00032219282188263265,0.03240770252315044,0.05769528885541916,0.0008439189529281613,0.002616199999465607
noise_robustness,circle,True,poly_ls,chord,40,0.01,0,0.007371527042799789,0.014938912309327212,0.019812549378551463,0.000239298376923921,0.0011439000008977018
noise_robustness,circle,True,bspline_ls,chord,40,0.01,0,0.020805970588215015,0.04265393378198026,0.05732190925282593,0.0001558456873618921,0.00024950000079115853
noise_robustness,circle,True,cubic_spline,chord,40,0.02,0,0.000154711190024262,0.05158115737287134,0.08052667217749235,0.001131396439821933,0.00304619999951683
noise_robustness,circle,True,bspline_interp,chord,40,0.02,0,0.0004527441363826984,0.053276390079998015,0.08163035283817394,0.0012175307496847178,0.0012185000014142133
noise_robustness,circle,True,poly_ls,chord,40,0.02,0,0.01416913435225726,0.026414974339653202,0.03603807246997478,0.0003299980900185903,0.0006919000006746501
noise_robustness,circle,True,bspline_ls,chord,40,0.02,0,0.017821275092182027,0.023318619735171707,0.04692106089504841,0.00015708324685320227,0.0003497000034258235
noise_robustness,circle,True,cubic_spline,chord,40,0.04,0,0.0002163980212800046,0.08120105066543903,0.11482661278021752,0.0015760997319352447,0.005774899997049943
noise_robustness,circle,True,bspline_interp,chord,40,0.04,0,0.0006752659560902972,0.08398978463775125,0.12542610710084207,0.001757484987844435,0.0019941000027756672
noise_robustness,circle,True,poly_ls,chord,40,0.04,0,0.027089346448620065,0.04897387040938016,0.06635644224719812,0.0005299641780260242,0.0006926999994902872
noise_robustness,circle,True,bspline_ls,chord,40,0.04,0,0.022474601138341238,0.06106350516070129,0.08277221039543933,0.000420102968945999,0.00046210000073187985
noise_robustness,circle,True,cubic_spline,chord,40,0.06,0,0.00024359092052822539,0.10795701480348058,0.14672207554747457,0.0019540878457778113,0.0036593000004359055
noise_robustness,circle,True,bspline_interp,chord,40,0.06,0,0.0008498857599490225,0.11137254663622179,0.1662823392401632,0.002179000370150935,0.0016546999977435917
noise_robustness,circle,True,poly_ls,chord,40,0.06,0,0.039505361796585224,0.07043202753120298,0.09294377703936874,0.0007442663128347924,0.00048570000217296183
noise_robustness,circle,True,bspline_ls,chord,40,0.06,0,0.023496847301068612,0.09863746780177365,0.13244391811311926,0.0009651789106980931,0.0008922999986680225
noise_robustness,circle,True,cubic_spline,chord,40,0.0,1,1.1174218508113303e-05,0.006022987669356134,0.014756246128756425,0.00015796228545026533,0.004310199998144526
noise_robustness,circle,True,bspline_interp,chord,40,0.0,1,1.1172035892620616e-05,0.006030344448898528,0.014805532754451158,0.0001579609918728015,0.000764199998229742
noise_robustness,circle,True,poly_ls,chord,40,0.0,1,0.001169735376140182,0.00677069706427162,0.011996304029496023,0.000162537692551937,0.0007084999997459818
noise_robustness,circle,True,bspline_ls,chord,40,0.0,1,0.017143398283187845,0.049260099009375446,0.09881280899132623,0.0001553529671115062,0.0002510999984224327
noise_robustness,circle,True,cubic_spline,chord,40,0.01,1,0.00018901843957263,0.055593238347989654,0.11878674041741406,0.0010618442221761388,0.002071399998385459
noise_robustness,circle,True,bspline_interp,chord,40,0.01,1,0.000419948083563208,0.03703543857117028,0.0741975792676744,0.0009046187587311381,0.0009471000012126751
noise_robustness,circle,True,poly_ls,chord,40,0.01,1,0.007759691249077711,0.01018709134521346,0.012068413901369892,0.00023791192574682267,0.0004604999994626269
noise_robustness,circle,True,bspline_ls,chord,40,0.01,1,0.023075637276548287,0.054457227604018305,0.07855858518237434,0.0001550869283847556,0.0002342000007047318
noise_robustness,circle,True,cubic_spline,chord,40,0.02,1,0.0001979646085356863,0.07034656601806061,0.12110354434392882,0.0014711267756273867,0.002611700001580175
noise_robustness,circle,True,bspline_interp,chord,40,0.02,1,0.0005162279107381139,0.0568136377024525,0.10846858221684275,0.0013050530112125602,0.0007200000000011642
noise_robustness,circle,True,poly_ls,chord,40,0.02,1,0.01583739344209921,0.01853366053486911,0.029539333964056547,0.000336263174385935,0.0007302000012714416
noise_robustness,circle,True,bspline_ls,chord,40,0.02,1,0.018444708284388055,0.029130163192869145,0.058189878531556015,0.00015707020463502942,0.00027489999774843454
noise_robustness,circle,True,cubic_spline,chord,40,0.04,1,0.0002312811089335588,0.09471094020623051,0.13581358976353394,0.0020355363462046597,0.002574800000729738
noise_robustness,circle,True,bspline_interp,chord,40,0.04,1,0.0007316638673110247,0.09510973355974459,0.13586812763858,0.0018298337116264528,0.0010680000013962854
noise_robustness,circle,True,poly_ls,chord,40,0.04,1,0.0326933584623206,0.03446325201222308,0.07541541764768091,0.0005576663768382879,0.0007670999984839
