t,s,i,r,N,I0,alpha,phase,R0_basic
1.0136986301369864,0.013728961869994715,5.196713482979061e-22,0.9862710381300043,10000,20,0.0,0.0,8.0
1.015068493150685,0.013748262484237208,4.877365628701382e-22,0.9862517375157618,10000,20,0.0,0.0,8.0
1.0164383561643835,0.013767562720780573,4.577692664680911e-22,0.9862324372792184,10000,20,0.0,0.0,8.0
1.0178082191780822,0.013786862579632204,4.296479342756693e-22,0.9862131374203668,10000,20,0.0,0.0,8.0
1.0191780821917809,0.01380616206079949,4.0325856659568616e-22,0.9861938379391995,10000,20,0.0,0.0,8.0
1.0205479452054795,0.013825461164289824,3.784942217077025e-22,0.9861745388357092,10000,20,0.0,0.0,8.0
1.021917808219178,0.013844759890110591,3.5525457779714273e-22,0.9861552401098884,10000,20,0.0,0.0,8.0
1.0232876712328767,0.01386405823826919,3.3344552214200634e-22,0.9861359417617298,10000,20,0.0,0.0,8.0
1.0246575342465754,0.013883356208773007,3.1297876585702487e-22,0.986116643791226,10000,20,0.0,0.0,8.0
1.026027397260274,0.013902653801629432,2.937714826012907e-22,0.9860973461983695,10000,20,0.0,0.0,8.0
1.0273972602739727,0.013921951016845858,2.7574596975516434e-22,0.9860780489831531,10000,20,0.0,0.0,8.0
1.0287671232876712,0.01394124785442967,2.588293306655915e-22,0.9860587521455693,10000,20,0.0,0.0,8.0
1.0301369863013699,0.013960544314388264,2.429531766465208e-22,0.9860394556856107,10000,20,0.0,0.0,8.0
1.0315068493150685,0.013979840396729027,2.280533475032304e-22,0.9860201596032699,10000,20,0.0,0.0,8.0
1.0328767123287672,0.013999136101459348,2.1406964942619994e-22,0.9860008638985396,10000,20,0.0,0.0,8.0
1.0342465753424657,0.014018431428586615,2.009456091723725e-22,0.9859815685714123,10000,20,0.0,0.0,8.0
1.0356164383561643,0.014037726378118225,1.8862824351916597e-22,0.9859622736218807,10000,20,0.0,0.0,8.0
1.036986301369863,0.01405702095006156,1.770678430400195e-22,0.9859429790499373,10000,20,0.0,0.0,8.0
1.0383561643835617,0.014076315144424013,1.662177693095759e-22,0.9859236848555749,10000,20,0.0,0.0,8.0
1.0397260273972604,0.014095608961212971,1.5603426470235152e-22,0.9859043910387859,10000,20,0.0,0.0,8.0
1.0410958904109588,0.01411490240043582,1.4647627400089364e-22,0.9858850975995631,10000,20,0.0,0.0,8.0
1.0424657534246575,0.014134195462099956,1.3750527707835572e-22,0.985865804537899,10000,20,0.0,0.0,8.0
1.0438356164383562,0.014153488146212763,1.2908513196631638e-22,0.9858465118537861,10000,20,0.0,0.0,8.0
1.0452054794520549,0.01417278045278163,1.2118192766161057e-22,0.9858272195472173,10000,20,0.0,0.0,8.0
1.0465753424657533,0.014192072381813942,1.1376384606630467e-22,0.985807927618185,10000,20,0.0,0.0,8.0
1.047945205479452,0.014211363933317093,1.0680103249269293e-22,0.9857886360666819,10000,20,0.0,0.0,8.0
1.0493150684931507,0.014230655107298469,1.0026547420065403e-22,0.9857693448927005,10000,20,0.0,0.0,8.0
1.0506849315068494,0.014249945903765457,9.413088646787297e-23,0.9857500540962335,10000,20,0.0,0.0,8.0
1.052054794520548,0.014269236322725443,8.837260572461099e-23,0.9857307636772735,10000,20,0.0,0.0,8.0
1.0534246575342465,0.014288526364185814,8.296748931387055e-23,0.9857114736358131,10000,20,0.0,0.0,8.0
1.0547945205479452,0.014307816028153963,7.789382146517079e-23,0.985692183971845,10000,20,0.0,0.0,8.0
1.0561643835616439,0.014327105314637274,7.313122509582177e-23,0.9856728946853617,10000,20,0.0,0.0,8.0
1.0575342465753426,0.014346394223643134,6.866057907760903e-23,0.9856536057763559,10000,20,0.0,0.0,8.0
1.058904109589041,0.014365682755178926,6.446394062938305e-23,0.9856343172448201,10000,20,0.0,0.0,8.0
1.0602739726027397,0.014384970909252044,6.052447251716843e-23,0.9856150290907469,10000,20,0.0,0.0,8.0
1.0616438356164384,0.014404258685869873,5.682637476325155e-23,0.9855957413141291,10000,20,0.0,0.0,8.0
1.063013698630137,0.014423546085039797,5.335482058426707e-23,0.9855764539149592,10000,20,0.0,0.0,8.0
1.0643835616438355,0.0144428331067692,5.009589629575446e-23,0.9855571668932298,10000,20,0.0,0.0,8.0
1.0657534246575342,0.014462119751065474,4.7036544936976536e-23,0.9855378802489335,10000,20,0.0,0.0,8.0
1.0671232876712329,0.014481406017936004,4.4164513385127523e-23,0.985518593982063,10000,20,0.0,0.0,8.0
1.0684931506849316,0.014500691907388175,4.146830274240305e-23,0.9854993080926108,10000,20,0.0,0.0,8.0
1.0698630136986302,0.014519977419429371,3.8937121792891216e-23,0.9854800225805695,10000,20,0.0,0.0,8.0
1.0712328767123287,0.014539262554066977,3.6560843338861424e-23,0.985460737445932,10000,20,0.0,0.0,8.0
