alpha,sample_index,t_sample,i_sample
0.3466666666666667,37,97.0,0.0028951360892838767
0.3466666666666667,38,98.0,3.38838504735191e-12
0.3466666666666667,39,99.0,7.18372955667791e-18
0.3466666666666667,40,100.0,5.610069212076276e-19
0.3466666666666667,41,101.0,1.3902037020604263e-15
0.3466666666666667,42,102.0,9.436786790711823e-08
0.3466666666666667,43,103.0,0.0003295180835538839
0.3466666666666667,44,104.0,3.818651098686912e-08
0.3466666666666667,45,105.0,3.983193874471195e-09
0.3466666666666667,46,106.0,1.3086961002069918e-05
0.3466666666666667,47,107.0,3.038490467025526e-07
0.3466666666666667,48,108.0,6.432978448104901e-08
0.3466666666666667,49,109.0,0.00039592265446558356
0.3466666666666667,50,110.0,2.172481685629756e-11
0.3466666666666667,51,111.0,8.482870949150618e-17
0.3466666666666667,52,112.0,1.209563287612142e-17
0.3466666666666667,53,113.0,5.4262211946468486e-14
0.3466666666666667,54,114.0,6.6102678096210594e-06
0.3466666666666667,55,115.0,2.3333009065372854e-10
0.3466666666666667,56,116.0,1.881643343531278e-15
0.3466666666666667,57,117.0,5.484475744758743e-16
0.3466666666666667,58,118.0,4.97864978775977e-12
0.3466666666666667,59,119.0,0.0011543491005883328
0.3466666666666667,60,120.0,4.502414968896339e-14
0.36000000000000004,1,61.0,1.3876063929518536e-16
0.36000000000000004,2,62.0,5.757979539045789e-27
0.36000000000000004,3,63.0,1.0264007879634951e-32
0.36000000000000004,4,64.0,6.756052450781202e-34
0.36000000000000004,5,65.0,1.4145359205967105e-30
0.36000000000000004,6,66.0,8.132236988660969e-23
0.36000000000000004,7,67.0,1.110470911682604e-10
0.36000000000000004,8,68.0,0.0013301455599546025
0.36000000000000004,9,69.0,4.4689435854700263e-13
0.36000000000000004,10,70.0,5.4310930758181695e-18
0.36000000000000004,11,71.0,2.3717803554840994e-18
0.36000000000000004,12,72.0,3.207372978967268e-14
0.36000000000000004,13,73.0,1.1593022143019196e-05
0.36000000000000004,14,74.0,2.0397605005712195e-11
0.36000000000000004,15,75.0,1.1261222844649124e-17
0.36000000000000004,16,76.0,2.3342175130485237e-19
0.36000000000000004,17,77.0,1.5644443937468191e-16
