t,model,s,i,r,R0,beta,gamma,beta0,mu
7.16986301369863,demographic_sir,0.09637135688333076,1.2790940237815348e-44,0.9036286431166722,15.0,,52.0,780.2142857142857,0.014285714285714285
7.1726027397260275,demographic_sir,0.0964067232614056,1.3629967761817363e-44,0.9035932767385974,15.0,,52.0,780.2142857142857,0.014285714285714285
7.175342465753425,demographic_sir,0.09644208825530488,1.4525129687687146e-44,0.9035579117446981,15.0,,52.0,780.2142857142857,0.014285714285714285
7.178082191780822,demographic_sir,0.09647745186508275,1.5480252445596055e-44,0.9035225481349203,15.0,,52.0,780.2142857142857,0.014285714285714285
7.1808219178082195,demographic_sir,0.09651281409079338,1.649942796163158e-44,0.9034871859092096,15.0,,52.0,780.2142857142857,0.014285714285714285
7.183561643835617,demographic_sir,0.09654817493249096,1.7587032392809724e-44,0.9034518250675121,15.0,,52.0,780.2142857142857,0.014285714285714285
7.186301369863013,demographic_sir,0.09658353439022964,1.874774620563332e-44,0.9034164656097734,15.0,,52.0,780.2142857142857,0.014285714285714285
7.189041095890411,demographic_sir,0.09661889246406359,1.9986575696047437e-44,0.9033811075359395,15.0,,52.0,780.2142857142857,0.014285714285714285
7.191780821917808,demographic_sir,0.09665424915404698,2.1308876055867752e-44,0.9033457508459561,15.0,,52.0,780.2142857142857,0.014285714285714285
7.1945205479452055,demographic_sir,0.09668960446023397,2.272037609854574e-44,0.9033103955397692,15.0,,52.0,780.2142857142857,0.014285714285714285
7.197260273972603,demographic_sir,0.09672495838267872,2.4227204765479835e-44,0.9032750416173245,15.0,,52.0,780.2142857142857,0.014285714285714285
7.2,demographic_sir,0.09676031092143539,2.5835919543075773e-44,0.9032396890785679,15.0,,52.0,780.2142857142857,0.014285714285714285
7.2027397260273975,demographic_sir,0.09679566207655813,2.755353693041861e-44,0.9032043379234451,15.0,,52.0,780.2142857142857,0.014285714285714285
7.205479452054795,demographic_sir,0.09683101184810107,2.9387565107808546e-44,0.9031689881519022,15.0,,52.0,780.2142857142857,0.014285714285714285
7.208219178082192,demographic_sir,0.09686636023611839,3.134603896758447e-44,0.9031336397638848,15.0,,52.0,780.2142857142857,0.014285714285714285
7.210958904109589,demographic_sir,0.09690170724066423,3.343755768067278e-44,0.9030982927593391,15.0,,52.0,780.2142857142857,0.014285714285714285
7.213698630136986,demographic_sir,0.09693705286179274,3.567132498522511e-44,0.9030629471382104,15.0,,52.0,780.2142857142857,0.014285714285714285
7.2164383561643834,demographic_sir,0.09697239709955806,3.8057192397591626e-44,0.903027602900445,15.0,,52.0,780.2142857142857,0.014285714285714285
7.219178082191781,demographic_sir,0.09700773995401434,4.0605705560848854e-44,0.9029922600459888,15.0,,52.0,780.2142857142857,0.014285714285714285
