t,beta_t,i_t,alpha,R0,beta0
44.8986301369863,968.3851098664243,1.3188930092866512e-09,0.3,15.0,780.2142857142857
44.9013698630137,970.7534031297914,1.4971203488186517e-09,0.3,15.0,780.2142857142857
44.9041095890411,973.0652355404973,1.7006962799684514e-09,0.3,15.0,780.2142857142857
44.90684931506849,975.3199220526978,1.9333614289423156e-09,0.3,15.0,780.2142857142857
44.90958904109589,977.5167945541343,2.1994233319853588e-09,0.3,15.0,780.2142857142857
44.912328767123284,979.6552020640574,2.503843946986046e-09,0.3,15.0,780.2142857142857
44.915068493150685,981.7345109261856,2.8523408239592293e-09,0.3,15.0,780.2142857142857
44.917808219178085,983.754104996421,3.251504074933547e-09,0.3,15.0,780.2142857142857
44.92054794520548,985.7133858254473,3.7089316182242034e-09,0.3,15.0,780.2142857142857
44.92328767123288,987.6117728360833,4.233385558141715e-09,0.3,15.0,780.2142857142857
44.92602739726028,989.4487034952808,4.834973006770811e-09,0.3,15.0,780.2142857142857
44.92876712328767,991.223633480841,5.525355168553353e-09,0.3,15.0,780.2142857142857
44.93150684931507,992.9360368427031,6.317989101198468e-09,0.3,15.0,780.2142857142857
44.93424657534246,994.585406158789,7.228407249761215e-09,0.3,15.0,780.2142857142857
44.93698630136986,996.1712526853851,8.274540638115648e-09,0.3,15.0,780.2142857142857
44.93972602739726,997.6931065019342,9.477092508605455e-09,0.3,15.0,780.2142857142857
44.942465753424656,999.1505166503018,1.0859970244354736e-08,0.3,15.0,780.2142857142857
44.945205479452056,1000.543051268417,1.245078460917785e-08,0.3,15.0,780.2142857142857
44.94794520547945,1001.8702977182099,1.4281426720273701e-08,0.3,15.0,780.2142857142857
44.95068493150685,1003.1318627079221,1.6388734755036613e-08,0.3,15.0,780.2142857142857
44.95342465753425,1004.3273724086154,1.88152642143351e-08,0.3,15.0,780.2142857142857
44.95616438356164,1005.4564725649644,2.1610177654847263e-08,0.3,15.0,780.2142857142857
44.95890410958904,1006.5188286002252,2.4830272199687788e-08,0.3,15.0,780.2142857142857
44.961643835616435,1007.5141257153733,2.8541165883109626e-08,0.3,15.0,780.2142857142857
44.964383561643835,1008.4420689824001,3.281866703050906e-08,0.3,15.0,780.2142857142857
44.967123287671235,1009.3023834316853,3.775035447321175e-08,0.3,15.0,780.2142857142857
44.96986301369863,1010.0948141334883,4.343740051228924e-08,0.3,15.0,780.2142857142857
