t,model,s,i,r,R0,beta0,gamma,mu,alpha
52.61917808219178,seasonal_vital_sir,0.099936133967229,2.2656532838380332e-10,0.9000638658062049,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.63835616438356,seasonal_vital_sir,0.10018269269137649,3.0373502694053717e-10,0.8998173070048877,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.657534246575345,seasonal_vital_sir,0.10042918374057325,4.199164408814799e-10,0.8995708158395095,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.676712328767124,seasonal_vital_sir,0.1006756070578123,6.003284954016275e-10,0.8993243923418582,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.6958904109589,seasonal_vital_sir,0.10092196253289515,8.895733807366819e-10,0.8990780365775305,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.71506849315069,seasonal_vital_sir,0.1011682499583006,1.3688364244445386e-09,0.8988317486728621,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.73424657534247,seasonal_vital_sir,0.10141446894319585,2.190267992541064e-09,0.8985855288665352,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.75342465753425,seasonal_vital_sir,0.10166061874125555,3.6475130800496147e-09,0.8983393776112305,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.772602739726025,seasonal_vital_sir,0.1019066978964475,6.324129079043529e-09,0.8980932957794225,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.79178082191781,seasonal_vital_sir,0.10215270349482118,1.1413749017003104e-08,0.897847285091429,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.81095890410959,seasonal_vital_sir,0.10239862954323638,2.1427338029521102e-08,0.8976013490294249,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.83013698630137,seasonal_vital_sir,0.10264446337030403,4.179088105816808e-08,0.8973554948388143,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.84931506849315,seasonal_vital_sir,0.1028901774552238,8.45295421716814e-08,0.8971097380152334,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.868493150684934,seasonal_vital_sir,0.10313571049461834,1.7692063199587465e-07,0.8968641125847492,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.88767123287671,seasonal_vital_sir,0.10338092274314302,3.821399522721869e-07,0.8966186951169042,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.90684931506849,seasonal_vital_sir,0.10362548908848984,8.491575172358057e-07,0.8963736617539924,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.92602739726028,seasonal_vital_sir,0.10386864007009863,1.934448111008751e-06,0.8961294254817899,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.945205479452056,seasonal_vital_sir,0.10410852971060774,4.500482250920232e-06,0.8958869698071408,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.964383561643835,seasonal_vital_sir,0.10434068708901068,1.0648368372284382e-05,0.8956486645426165,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
52.983561643835614,seasonal_vital_sir,0.10455423013758094,2.5507558714142878e-05,0.8954202623037045,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
53.0027397260274,seasonal_vital_sir,0.10472268544209512,6.155359940923953e-05,0.8952157609584952,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
53.02191780821918,seasonal_vital_sir,0.10478214197686718,0.00014876667625525686,0.8950690913468772,15.0,780.2142857142857,52.0,0.014285714285714285,0.2
